Fecha,Producto,Cantidad,Precio Unitario,Total Venta,Meses
2023-01-17,Electrónic,7,200,1400,Enero
2023-09-01,Electrónic,8,200,1600,Septiembre
2023-07-29,Juguetes,3,30,90,Julio
2023-10-04,Alimentos,4,10,40,Octubre
2023-02-28,Electrónic,6,200,1200,Febrero
2023-03-11,Ropa,9,50,450,Marzo
2023-11-03,Juguetes,4,30,120,Noviembre
2023-11-08,Ropa,9,50,450,Noviembre
2023-03-22,Ropa,10,50,500,Marzo
2023-09-29,Ropa,1,50,50,Septiembre
2023-09-12,Alimentos,2,10,20,Septiembre
2023-01-25,Juguetes,3,30,90,Enero
2023-11-21,Alimentos,3,10,30,Noviembre
2023-05-27,Alimentos,2,10,20,Mayo
2023-01-19,Juguetes,10,30,300,Enero
2023-12-05,Libros,4,20,80,Diciembre
2023-06-05,Alimentos,6,10,60,Junio
2023-05-19,Libros,10,20,200,Mayo
2023-01-20,Alimentos,9,10,90,Enero
2023-06-18,Electrónic,9,200,1800,Junio
2023-11-21,Alimentos,1,10,10,Noviembre
2023-05-01,Electrónic,10,200,2000,Mayo
2023-02-10,Juguetes,1,30,30,Febrero
2023-07-27,Libros,3,20,60,Julio
2023-09-13,Alimentos,8,10,80,Septiembre
2023-09-11,Juguetes,6,30,180,Septiembre
2023-12-10,Libros,1,20,20,Diciembre
2023-07-23,Libros,1,20,20,Julio
2023-01-17,Libros,9,20,180,Enero
2023-05-19,Ropa,10,50,500,Mayo
2023-05-09,Juguetes,8,30,240,Mayo
2023-02-21,Juguetes,8,30,240,Febrero
2023-06-01,Alimentos,1,10,10,Junio
2023-04-02,Ropa,6,50,300,Abril
2023-08-21,Libros,3,20,60,Agosto
2023-09-12,Juguetes,1,30,30,Septiembre
2023-02-17,Libros,6,20,120,Febrero
2023-11-19,Electrónic,4,200,800,Noviembre
2023-06-28,Electrónic,8,200,1600,Junio
2023-03-20,Juguetes,2,30,60,Marzo
2023-06-01,Juguetes,4,30,120,Junio
2023-11-19,Electrónic,10,200,2000,Noviembre
2023-10-18,Ropa,4,50,200,Octubre
2023-04-11,Alimentos,6,10,60,Abril
2023-10-20,Alimentos,4,10,40,Octubre
2023-11-20,Juguetes,8,30,240,Noviembre
2023-05-04,Alimentos,6,10,60,Mayo
2023-08-08,Electrónic,10,200,2000,Agosto
2023-01-07,Libros,4,20,80,Enero
2023-12-05,Electrónic,1,200,200,Diciembre
2023-03-18,Libros,7,20,140,Marzo
2023-06-07,Electrónic,2,200,400,Junio
2023-05-17,Juguetes,6,30,180,Mayo
2023-08-20,Libros,4,20,80,Agosto
2023-06-01,Ropa,4,50,200,Junio
2023-12-23,Ropa,5,50,250,Diciembre
2023-11-11,Alimentos,1,10,10,Noviembre
2023-09-28,Libros,8,20,160,Septiembre
2023-08-04,Alimentos,9,10,90,Agosto
2023-02-14,Libros,4,20,80,Febrero
2023-08-12,Juguetes,6,30,180,Agosto
2023-10-09,Juguetes,6,30,180,Octubre
2023-11-08,Libros,5,20,100,Noviembre
2023-08-24,Ropa,3,50,150,Agosto
2023-10-17,Juguetes,9,30,270,Octubre
2023-07-26,Libros,10,20,200,Julio
2023-08-13,Electrónic,10,200,2000,Agosto
2023-10-18,Libros,3,20,60,Octubre
2023-08-18,Libros,8,20,160,Agosto
2023-09-17,Electrónic,6,200,1200,Septiembre
2023-10-14,Ropa,9,50,450,Octubre
2023-11-07,Ropa,7,50,350,Noviembre
